,Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,12,22,1,0,54.54,2.0,lbw,1,v Sri Lanka,Dambulla,18-Aug-08
1,37,67,6,0,55.22,2.0,caught,2,v Sri Lanka,Dambulla,20-Aug-08
2,25,38,4,0,65.78,1.0,run out,1,v Sri Lanka,Colombo (RPS),24-Aug-08
3,54,66,7,0,81.81,1.0,bowled,1,v Sri Lanka,Colombo (RPS),27-Aug-08
4,31,46,3,1,67.39,1.0,lbw,2,v Sri Lanka,Colombo (RPS),29-Aug-08
5,2,2,0,0,100.0,7.0,not out,1,v Sri Lanka,Colombo (RPS),14-Sep-09
6,30,41,3,0,73.17,4.0,caught,2,v Australia,Vadodara,25-Oct-09
7,10,16,1,0,62.5,3.0,caught,2,v Australia,Mohali,2-Nov-09
8,27,19,4,0,142.1,7.0,bowled,1,v Sri Lanka,Rajkot,15-Dec-09
9,54,65,7,0,83.07,4.0,lbw,1,v Sri Lanka,Nagpur,18-Dec-09
10,107,114,11,1,93.85,4.0,caught,2,v Sri Lanka,Kolkata,24-Dec-09
11,91,102,7,0,89.21,3.0,caught,2,v Bangladesh,Dhaka,7-Jan-10
12,102,95,11,0,107.36,3.0,not out,2,v Bangladesh,Dhaka,11-Jan-10
13,31,46,1,0,67.39,5.0,caught,1,v South Africa,Jaipur,21-Feb-10
14,57,71,4,1,80.28,3.0,caught,2,v South Africa,Ahmedabad,27-Feb-10
15,0,0,0,0,0.0,3.0,run out,1,v Zimbabwe,Bulawayo,28-May-10
16,18,29,1,0,62.06,3.0,caught,1,v Zimbabwe,Harare,3-Jun-10
17,10,14,1,0,71.42,3.0,caught,1,v Sri Lanka,Dambulla,22-Jun-10
18,28,34,4,0,82.35,3.0,caught,1,v Sri Lanka,Dambulla,24-Jun-10
19,0,3,0,0,0.0,3.0,caught,2,v Sri Lanka,Dambulla,16-Aug-10
20,37,57,5,0,64.91,3.0,caught,2,v Sri Lanka,Dambulla,28-Aug-10
